перевод: перевода переводы переводу перевод переводов 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
понимать: понимаю 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
мочь: могут могу 
понравиться: понравился понравиться 
принять: прими 
автор: авторами авторы авторам автор 
соглашение: соглашение 
повторить: повтори 
хит: хит 
незачем: незачем 
вызов: вызов 
ошибка: ошибки 
форум: форуме форум 
жить: жить 
ты: тобой 
говорить: говорить говоришь 
треклист: треклист 
серьёзно: серьёзно 
сделать: сделал 
принадлежать: принадлежат 
предоставляться: предоставляются 
дискотека: дискотека 
сеть: сети 
персональный: персональное 
просто: просто 
выйти: выйти 
тег: тегам теги 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие немецкая 
текст: текст 
сегодня: сегодня 
твой: твоей 
возможность: возможность 
маришка: маришка 
сказать: сказать скажу 
разогнать: разогнать 
мой: мои 
случай: случае 
отказ: отказ 
идти: иду 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
шанс: шанс 
разместить: разместить 
дать: дай 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
болтать: болтаем 
авторский: авторские 
наш: наши 
уехать: уеду 
чувствовать: чувствую 
миронов: миронова 
версия: версия 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
клип: клипов 
сторониться: сторонишься 
мнение: мнений 
ответственность: ответственности 
радио: радио 
английский: английские 
забыть: забыть 
итальянский: итальянские 
возможный: возможны 
пара: пару 
обратный: обратная 
замечание: замечания 
день: дней 
испанский: испанские 
ненужный: ненужным 
добавить: добавить 
умолк: умолку 
страх: страхи 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
прийти: приду 
пожалуйста: пожалуйста 
равно: равно 
хотеть: хочешь 
сообщить: сообщите 
пожалеть: пожалеть 
знать: знаю 
материал: материалов 
любой: любом 
мы: нам 
некоторый: некоторые 
я: мной 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
отправить: отправить 
что: чём 
программа: программа 
постепенно: постепенно 
это: это 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
игра: игра 
такой: такая 
любовь: любовью 
так: т 
х: х 
главный: главная 
реклама: рекламу 
спотыкаться: спотыкаюсь 
