перевод: перевода переводы переводу перевод переводов 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
ты: тебе 
мочь: могут 
понравиться: понравился понравиться 
кофейник: кофейником 
автор: авторами авторы авторам автор 
соглашение: соглашение 
хит: хит 
ошибка: ошибки 
форум: форуме форум 
крошка: крошка 
укладка: укладки 
треклист: треклист 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
персональный: персональное 
просто: просто 
выйти: выйти 
глубокий: глубокой глубок 
тег: тегам 
партнёрский: партнерская 
пылесос: пылесосом 
французский: французские 
право: права 
немецкий: немецкие 
текст: текст 
возможность: возможность 
мой: мои 
твой: твоим твои твою 
счётчик: счетчиком 
обогреватель: обогревателем 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
остановиться: остановлюсь 
разместить: разместить 
парад: парад 
заржаветь: заржавею 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
командовать: командуешь 
скрыть: скрыть 
холодно: холодно 
лосьон: лосьоном 
пыль: пыль 
трудный: труднее 
вдыхать: вдыхающим 
свой: своем 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
сердце: сердце 
интересный: интересное 
горячий: горячий 
хотеть: хочу 
крайний: крайней 
хранить: храню 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
радио: радио 
кофе: кофе 
оказаться: оказалось 
хотеться: хотелось 
мера: мере 
английский: английские 
настолько: настолько 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
океан: океан 
замечание: замечания 
тихий: тихий 
испанский: испанские 
добавить: добавить 
преданность: преданностью 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
думать: думал 
волос: волосы 
пожалуйста: пожалуйста 
сообщить: сообщите 
материал: материалов 
мы: нам 
некоторый: некоторые 
пользовательский: пользовательское 
секрет: секреты 
авторизируться: авторизируйтесь 
отправить: отправить 
программа: программа 
насколько: насколько 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
позволить: позволь 
мелодия: мелодию 
игра: игра 
держать: держать 
любить: любишь 
главный: главная 
реклама: рекламу 
