перевод: перевода переводы переводу перевод переводов 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
понимать: понимаю 
поддержать: поддержи 
собираться: собирается 
связь: связь 
согласовывать: согласовывайте 
депрессия: депрессию 
мочь: могут могу 
понравиться: понравился понравиться 
находить: нахожу 
возвращаться: возвращаться 
сказать: скажи 
домой: домой 
автор: авторами авторы авторам автор 
соглашение: соглашение 
впадать: впадают 
хит: хит 
дышать: дышать 
слово: слово 
пока: пока 
небо: неба 
ошибка: ошибки 
форум: форуме форум 
ребёнок: ребёнок ребёнком 
вести: вела 
поспешить: поспеши 
один: одно 
который: котором 
треклист: треклист 
принадлежать: принадлежат 
предоставляться: предоставляются 
больший: большим 
сеть: сети 
персональный: персональное 
последний: последнее 
выйти: выйти 
тег: тегам 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие 
вскарабкаться: вскарабкаться 
пятно: пятно 
текст: текст 
возможность: возможность 
вершина: вершину 
мой: мои 
дерево: дерево 
стоить: стою 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
вырасти: выросла 
политика: политика 
разместить: разместить 
парад: парад 
оставить: оставить 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
милый: милый 
спрыгнуть: спрыгну 
спать: спишь 
взорваться: взорваться 
подписка: подписки 
общение: общение 
биться: бьётся бьется 
конфиденциальность: конфиденциальности 
поздний: поздняя 
подняться: подняться 
плакать: плакала 
представиться: представьтесь 
паблик: паблик 
интересный: интересное 
хотеть: хочу 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
тёмный: тёмное 
ветерок: ветерок 
радио: радио 
английский: английские 
любовь: любовь 
итальянский: итальянские 
возможный: возможны 
должный: должно 
уступ: уступа 
обратный: обратная 
замечание: замечания 
испанский: испанские 
стать: стала 
ночной: ночной ночного 
добавить: добавить 
безумный: безумные 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
твой: твое 
бескрайний: бескрайнего 
пожалуйста: пожалуйста 
приносить: приносит 
большой: большой 
персиковый: персиковое 
сообщить: сообщите 
материал: материалов 
мы: нам 
время: время 
некоторый: некоторые 
женщина: женщины 
пользовательский: пользовательское 
первый: первая 
смочь: смогу 
авторизируться: авторизируйтесь 
словно: словно 
венди: венди 
окно: окна 
отправить: отправить 
молодой: молода 
программа: программа 
грудь: грудь 
любимый: любимые 
говорить: говори 
пожелание: пожелания 
роман: роман 
копирование: копирования 
комната: комнате 
позволить: позволь 
мелодия: мелодию 
лишь: лишь 
игра: игра 
весна: весна 
любить: любишь 
летний: летняя 
главный: главная 
сладкое: сладкое 
обратно: обратно 
реклама: рекламу 
