перевод: перевода переводы переводу перевод переводов 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
вчера: вчера 
деньга: деньги денег 
ты: тебе 
понравиться: понравился понравиться 
мочь: могут 
реклама: рекламу 
быть: будь 
автор: авторами авторы авторам автор 
соглашение: соглашение 
милый: милая 
хит: хит 
взять: возьму возьми 
ошибка: ошибки 
форум: форуме форум 
треклист: треклист 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
персональный: персональное 
выйти: выйти 
тег: тегам 
купить: купить 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие 
текст: текст 
сбежать: сбежали 
возможность: возможность 
мой: мои мою 
торопиться: торопились 
ударить: ударила 
город: город 
смерть: смертью 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
парад: парад 
поэтому: поэтому 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши нашей 
машина: машина 
выход: выхода 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
хотеть: хочу 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
радио: радио 
английский: английские 
продать: продал 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
замечание: замечания 
испанский: испанские 
заставить: заставил 
добавить: добавить 
дом: дома 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
прогулка: прогулку 
пожалуйста: пожалуйста 
вариант: вариант 
сообщить: сообщите 
материал: материалов 
мы: нам 
плакать: плакать 
некоторый: некоторые 
пользовательский: пользовательское 
сделать: сделать 
авторизируться: авторизируйтесь 
отправить: отправить 
программа: программа 
любимый: любимые 
хороший: хорошее 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
игра: игра 
рука: руку 
главный: главная 
янвить: янви 
ружьё: ружье 
