перевод: перевода переводы переводу перевод переводов 
страница: страница 
мечтать: мечтать 
голова: голове 
видеоклип: видеоклипы видеоклип 
стол: стол 
социальный: социальные 
сказать: скажешь 
колдунья: колдунья 
поддержать: поддержи 
подходить: подходит 
связь: связь 
обвешать: обвешать 
согласовывать: согласовывайте 
ты: тебе 
мочь: могут 
понравиться: понравился понравиться 
вчера: вчера 
рождение: рождения 
хрустальный: хрустальный 
автор: авторами авторы автора авторам автор 
выигрыш: выигрыше 
соглашение: соглашение 
шанель: шанель 
чара: чары 
хит: хит 
завистница: завистницы 
пока: пока 
хотеться: хочется 
форум: форуме форум 
бабка: бабки 
ошибка: ошибки 
наложить: наложила 
пожениться: пожениться 
сидеть: сижу 
весь: всём всем 
желание: желания 
треклист: треклист 
расписаться: распишись 
бренд: бренда 
о: обо 
обед: обед 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
персональный: персональное 
выйти: выйти 
просто: просто 
тег: тегам 
значит: значит 
партнёрский: партнерская 
заставлять: заставляю 
французский: французские 
дом: дом 
немецкий: немецкие 
мамин: мамин 
право: права 
текст: текст 
возможность: возможность 
врата: врата 
каждый: каждого 
рассуждать: рассуждать 
мой: мои моих моим моего 
думать: думать думаешь 
ум: ума 
отвести: отвести 
плохой: хуже 
отказ: отказ 
песня: песне песни 
статистика: статистику 
поблагодарить: поблагодарить 
шар: шар 
лжец: лжец 
политика: политика 
типаж: типаж 
взглянуть: взгляни 
простой: прост 
разместить: разместить 
парад: парад 
быть: будешь 
рейтинг: рейтинг 
сумка: сумка 
сайт: сайт сайтом 
авторский: авторские 
девчонка: девчонка 
наш: наши 
холодно: холодно 
забывать: забываешь 
знать: знала 
открыться: открылись 
делать: делаешь 
заглянуть: заглянула 
положить: положила 
рай: рая 
который: которую которая которой 
похожий: похожа 
сложение: сложение 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
куча: куча 
паблик: паблик 
представиться: представьтесь 
свой: свой своё 
интересный: интересное 
огонь: огнём 
день: день 
хотеть: хочет хочешь 
фото: фото 
клип: клипов 
тот: та 
мнение: мнений 
ответственность: ответственности 
окружение: окружение 
радио: радио 
английский: английские 
счёт: счёта 
событие: событие 
обжечься: обжёгся 
итальянский: итальянские 
сойти: сошла 
возможный: возможны 
обратный: обратная 
охладить: охлади 
стесняться: стесняются 
нравиться: нравится нравлюсь 
замечание: замечания 
испанский: испанские 
смотреть: смотрят 
добавить: добавить 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
экран: экрана 
твой: твой 
пожалуйста: пожалуйста 
пение: пение 
сообщить: сообщите 
материал: материалов 
мы: нам 
некоторый: некоторые 
банковский: банковского 
отличный: отличное 
гадость: гадости 
пользовательский: пользовательское 
сводить: сводит 
авторизируться: авторизируйтесь 
капёс: капсом 
писать: пишут 
отправить: отправить 
говорить: говорит 
слышать: слышу 
программа: программа 
тело: тела 
загадывать: загадываешь 
это: это 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
уходить: уходить 
другой: других 
брать: берёт 
лайковый: лайков 
игра: игра 
любить: любишь 
брюлик: брюликами 
главный: главная 
хороший: лучшая 
реклама: рекламу 
впустить: впущу 
