перевод: перевода переводы переводу перевод переводов 
страница: страница 
могучий: могучий 
видеоклип: видеоклипы видеоклип 
язык: языком 
социальный: социальные 
оу: оу 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
мочь: могут 
понравиться: понравился понравиться 
автор: авторами авторы автора авторам автор 
сын: сын 
соглашение: соглашение 
хит: хит 
чей: чьё чей 
меч: меч 
слово: слово 
шип: шипами 
ошибка: ошибки 
форум: форуме форум 
треклист: треклист 
поэт: поэт 
принадлежать: принадлежат 
предоставляться: предоставляются 
который: который 
сеть: сети 
персональный: персональное 
выйти: выйти 
тег: тегам 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие 
текст: текст 
убить: убьёт 
возможность: возможность 
свой: своим 
мой: мои 
лай: лай 
город: город 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
парад: парад 
основание: основания 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
помазать: помазан 
солдат: солдат 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
бог: боже 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
оружие: оружие 
радио: радио 
английский: английские 
нести: несёт 
увенчать: увенчан 
итальянский: итальянские 
лей: лей 
возможный: возможны 
елей: елеем 
обратный: обратная 
замечание: замечания 
испанский: испанские 
добавить: добавить 
лоб: лоб 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
твой: твой 
разрушить: разрушит 
пожалуйста: пожалуйста 
сообщить: сообщите 
материал: материалов 
давид: давида 
мы: нам 
некоторый: некоторые 
пользовательский: пользовательское 
прийти: придёт 
авторизируться: авторизируйтесь 
царь: царь 
отправить: отправить 
программа: программа 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
юз: юзу 
игра: игра 
главный: главная 
реклама: рекламу 
правитель: правитель 
