перевод: перевода переводы переводу перевод переводов 
страница: страница 
видеоклип: видеоклипы видеоклип 
ответ: ответ 
социальный: социальные 
манка: манки 
поддержать: поддержи 
разбудить: разбудят 
утро: утра 
связь: связь 
согласовывать: согласовывайте 
мочь: могут 
понравиться: понравился понравиться 
вместе: вместе 
умереть: умерла 
чистый: чистого 
автор: авторами авторы автора авторам автор 
соглашение: соглашение 
рядом: рядом 
трудно: трудно 
хит: хит 
битлз: битлз 
говорить: говорила говорил говорит 
шёпот: шёпот 
форум: форуме форум 
хотя: хотя 
самый: самый 
ошибка: ошибки 
лапина: лапин 
треклист: треклист 
бывать: бывает 
принадлежать: принадлежат 
предоставляться: предоставляются 
сгуститься: сгустится 
сеть: сети 
персональный: персональное 
выйти: выйти 
просто: просто 
тег: тегам теги 
альбом: альбома 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие 
текст: текст 
возможность: возможность 
мэри: мэри 
мой: мои 
сон: сна сне 
пламя: пламя 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
шанс: шанс 
мрак: мрак 
римидавть: римидавл 
разместить: разместить 
звук: звуки 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
ночь: ночь 
светить: светит 
рак: рака 
слово: слова слов 
история: историей 
эквиритмический: эквиритмические 
подписка: подписки 
михаил: михаил 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
максим: максим 
представиться: представьтесь 
ярко: ярко 
интересный: интересное 
знак: знак 
объяснять: объяснял 
побудить: побудило 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
человек: люди 
радио: радио 
вдохновить: вдохновила 
разбитый: разбитым 
английский: английские 
всё: всё 
чувствовать: чувствовал 
год: лет 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
сквозь: сквозь 
замечание: замечания 
счастливый: счастливым 
испанский: испанские 
жизнь: жизни 
литературный: литературные 
завгородний: завгородний 
маккартень: маккартни 
пол: полу 
добавить: добавить 
мама: мама 
замысел: замысел 
час: час 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
который: которая 
белый: белого 
пожалуйста: пожалуйста 
вариант: вариант 
сообщить: сообщите 
прийти: пришёл 
тёмный: тёмный 
материал: материалов 
мы: нам 
время: время 
лист: листа 
некоторый: некоторые 
википедия: википедия 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
начать: начнут 
пусть: пусть 
стихотворный: стихотворные 
запись: записи 
увидеть: увидел 
отправить: отправить 
слышать: слышу 
программа: программа 
встреча: встречу 
нигроса: нигроса 
это: это 
мать: мать 
любимый: любимые 
слать: шлёт 
музыка: музыки 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
лишь: лишь 
игра: игра 
мудрый: мудрых мудрые 
варум: варум 
ещё: ещё 
поздний: позднее 
написать: написать 
главный: главная 
он: нему 
реклама: рекламу 
сердце: сердцем 
рассказывать: рассказывал 
