перевод: перевода переводы переводу перевод переводов 
страница: страница 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
небо: небесам 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
ты: тебе тобой 
мочь: могут 
понравиться: понравился понравиться 
вчера: вчера 
рождение: рождения 
сказать: скажи 
красный: красное 
сражаться: сражаться 
автор: авторами авторы автора авторам автор 
море: море 
соглашение: соглашение 
хит: хит 
ошибка: ошибки 
форум: форуме форум 
стать: станешь 
открытый: открытом 
треклист: треклист 
начать: начну начнёшь 
прямо: прямо 
рай: раю 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
персональный: персональное 
выйти: выйти 
баржа: баржа 
тег: тегам 
партнёрский: партнерская 
французский: французские 
буря: бурю 
право: права 
немецкий: немецкие 
мысль: мыслях 
текст: текст 
возможность: возможность 
мой: мои моих 
неважно: неважно 
пройти: прошло 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
покой: покою 
шанс: шанс 
политика: политика 
разместить: разместить 
дать: дай 
парад: парад 
рейтинг: рейтинг 
уйти: уйдёшь 
сайт: сайт сайтом 
авторский: авторские 
думать: думаю 
наш: наши 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
присмотреть: присмотрю 
день: день 
клип: клипов 
вступить: вступишь 
мнение: мнений 
ответственность: ответственности 
станцевать: станцую 
радио: радио 
снова: снова 
всё: всё 
английский: английские 
событие: событие 
вернуться: вернёшься 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
битва: битву 
танцевать: танцевать 
замечание: замечания 
испанский: испанские 
страх: страху 
добавить: добавить 
чистый: чиста 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
остаться: останусь 
угадать: угадай 
пожалуйста: пожалуйста 
равно: равно 
сообщить: сообщите 
материал: материалов 
мы: нам 
некоторый: некоторые 
пользовательский: пользовательское 
надеть: надену 
авторизируться: авторизируйтесь 
свой: своё 
отправить: отправить 
программа: программа 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
пасть: пасть 
позволить: позволь 
мелодия: мелодию 
игра: игра 
главный: главная 
быть: буду 
реклама: рекламу 
платье: платье 
