перевод: перевода переводы переводу перевод переводов 
свет: света 
самый: самая 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
боль: боль 
поддержать: поддержи 
звучать: звучать 
связь: связь 
согласовывать: согласовывайте 
вчера: вчера 
мочь: могут 
понравиться: понравился понравиться 
рождение: рождения 
рука: рук 
реклама: рекламу 
автор: авторами авторы авторам автор 
соглашение: соглашение 
хит: хит 
ошибка: ошибки 
форум: форуме форум 
девять: девять 
вырываться: вырывается 
кулак: кулаков 
слишком: слишком 
пять: пять 
треклист: треклист 
оно: оно 
причинять: причиняя 
принадлежать: принадлежат 
предоставляться: предоставляются 
ослепить: ослепить 
сеть: сети 
персональный: персональное 
небо: небес 
выйти: выйти 
обжечь: обжечь 
ринг: ринг 
тег: тегам теги 
боксёр: боксёра боксёр 
её: её 
партнёрский: партнерская 
французский: французские 
упасть: упадет 
право: права 
немецкий: немецкие 
тяжёлый: тяжёлой 
текст: текст 
сегодня: сегодня 
парад: парада парад 
возможность: возможность 
первоначальный: первоначальное 
мой: мои моих 
жар: жар 
звезда: звезда 
написать: написана 
кличко: кличко 
солнце: солнце 
отказ: отказ 
песня: песне песни песня 
начало: началом 
поблагодарить: поблагодарить 
равновесие: равновесие 
политика: политика 
нокдаун: нокдаун 
конец: конец 
разместить: разместить 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
украинский: украинского 
яркий: яркая 
светить: светит 
семь: семь 
восемь: восемь 
выход: выхода 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
название: название 
день: день 
считать: считает 
ждать: ждут 
ложиться: ложится 
посчитать: посчитав 
мнение: мнений 
клип: клипов 
ответственность: ответственности 
радио: радио 
бояться: бойтесь 
десять: десяти 
английский: английские 
событие: событие 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
мир: мир 
жёсткий: жёсткий 
замечание: замечания 
виталий: виталия 
испанский: испанские 
литературный: литературные 
добавить: добавить 
отказаться: отказался 
теряться: теряется 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
лидер: лидеры 
посылать: посылает 
лицо: лицо 
пожалуйста: пожалуйста 
вариант: вариант 
сообщить: сообщите 
должный: должна 
ночью: ночью 
материал: материалов 
громко: громко 
мы: нам 
время: время 
некоторый: некоторые 
однако: однако 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
отправить: отправить 
стихотворный: стихотворные 
четыре: четыре 
глаз: глаз 
программа: программа 
грудь: грудь 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
игра: игра 
зайти: зайдёт 
раммштайна: раммштайн 
главный: главная 
восходить: восходит 
бой: боя 
шесть: шесть 
