связь: связь 
автор: автор авторы авторами автора авторам 
теп: тепом 
крепкий: крепких 
сохранность: сохранности 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
свой: своих своей 
вознести: вознеси 
сон: сне 
удержать: удержи 
рейтинг: рейтинг 
текст: текст 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
быть: будешь 
форум: форум форуме 
принадлежать: принадлежат 
побыть: побудь 
засыпать: засыпать 
возможный: возможны 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
сайт: сайтом сайт 
любовь: любовь любви 
мелодия: мелодию 
клип: клипов 
возможность: возможность 
хит: хит 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
мой: мои 
итальянский: итальянские 
мнение: мнений 
море: море 
главный: главная 
бесконечный: бесконечном 
авторизируться: авторизируйтесь 
ответственность: ответственности 
пожелание: пожелания 
согревать: согревай 
сгорать: сгораю 
рядом: рядом 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
немецкий: немецкие 
объятие: объятиях 
песня: песне песни 
авторский: авторские 
подписка: подписки 
свет: свет 
я: мной 
уделить: удели 
французский: французские 
держать: держи 
целость: целости 
пожалуйста: пожалуйста 
разместить: разместить 
безнадёжный: безнадёжном 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
обнять: обними 
некоторый: некоторые 
замечание: замечания 
время: время 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
безопасность: безопасности 
добавить: добавить 
тон: тону 
нужный: нужен нужна 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
партнёрский: партнерская 
страница: страница 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
уйти: уйдёшь 
сообщить: сообщите 
мы: нам 
согласовывать: согласовывайте 
реклама: рекламу 
угадать: угадай 
программа: программа 
