связь: связь 
кобяка: кобяк 
автор: автор авторы авторами авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
рейтинг: рейтинг 
текст: текст 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
путь: пути 
форум: форум форуме 
принадлежать: принадлежат 
возможный: возможны 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
потеря: потеря 
популярный: популярные 
зря: зря 
сеть: сети 
право: права 
наш: наши 
сайт: сайтом сайт 
мелодия: мелодию 
клип: клипов 
возможность: возможность 
который: который которую 
бежать: беги 
хит: хит 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
мой: мои 
итальянский: итальянские 
мнение: мнений 
главный: главная 
свой: своей 
принять: принял 
истина: истины 
инна: инна 
авторизируться: авторизируйтесь 
ответственность: ответственности 
жить: жил 
пожелание: пожелания 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
немецкий: немецкие 
дурак: дурак 
авторский: авторские 
песня: песне песни 
подписка: подписки 
французский: французские 
пожалуйста: пожалуйста 
разместить: разместить 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
пропадать: пропадает 
цель: цель 
найти: найдет 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
добавить: добавить 
жизнь: жизни 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
партнёрский: партнерская 
прятаться: прячься 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
сообщить: сообщите 
мы: нам 
согласовывать: согласовывайте 
реклама: рекламу 
существовать: существует 
угадать: угадай 
программа: программа 
думать: думал 
