связь: связь 
автор: автор авторы авторами автора авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
глупый: глупая 
разрешить: разрешить 
рейтинг: рейтинг 
слишком: слишком 
пьяный: пьян 
текст: текст 
один: одну 
видеоклип: видеоклипы видеоклип 
пытаться: пытается пытаюсь 
закончиться: закончится 
сесть: сядь 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
форум: форум форуме 
принадлежать: принадлежат 
пока: пока 
спальня: спальне 
поцеловаться: поцеловаться 
возможный: возможны 
песня: песен песня песне песни 
выйти: выйти 
совершенно: совершенно 
понравиться: понравился понравиться 
радио: радио 
тошнить: тошнит 
популярный: популярные 
сеть: сети 
близкий: ближе 
право: права 
любовный: любовный 
наш: наши 
сайт: сайтом сайт 
хотеться: хотелось 
поцеловать: поцеловать 
перезапустить: перезапусти 
начать: начнешь 
любовь: любовь 
себя: собой 
мелодия: мелодию 
захотеться: захотелось 
клип: клипов 
возможность: возможность 
остаться: остаться 
предложить: предложила 
продать: продать 
который: который 
парень: парень парней 
рок: рок 
хит: хит 
голос: голосом 
рука: руку 
целовать: целовала 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
вчера: вчера 
мой: мои 
итальянский: итальянские 
сгореть: сгореть 
мнение: мнений 
говорить: говорил говорили 
сколько: скольких 
бояться: боюсь 
немного: немного 
ты: тебе 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
рождение: рождения 
переключиться: переключится 
пожелание: пожелания 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
ночь: ночь 
причина: причина 
немецкий: немецкие 
авторский: авторские 
захотеть: захотеть 
подписка: подписки 
взять: возьмет 
французский: французские 
пожалуйста: пожалуйста 
разместить: разместить 
поблагодарить: поблагодарить 
сигарета: сигарета 
почему: почему 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
нравиться: нравится 
колумбийский: колумбийского 
обратный: обратная 
слушать: слушали 
копирование: копирования 
парад: парад 
женщина: женщина 
игра: игра 
просто: просто 
добавить: добавить 
исполнитель: исполнителя 
соглашение: соглашение 
потащить: потащит 
отправить: отправить 
приятный: приятным 
оставить: оставить 
мочь: могут 
это: это 
водить: водить 
партнёрский: партнерская 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
поцелуй: поцелуй 
музыка: музыка 
пользовательский: пользовательское 
социальный: социальные 
мужчина: мужчина 
продюсер: продюсера 
её: её 
событие: событие 
сообщить: сообщите 
мы: нам 
согласовывать: согласовывайте 
реклама: рекламу 
милый: милый 
угадать: угадай 
день: день 
программа: программа 
сказать: сказать 
