связь: связь 
этот: эта 
дассный: дассен 
автор: автор авторы авторами авторам 
знать: знает 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
день: дня день 
вид: вид 
блаженный: блажен 
дождь: дождя 
рейтинг: рейтинг 
надежда: надежд 
кисть: кисть 
текст: текст 
стихотворный: стихотворные 
авторство: авторство 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
форум: форум форуме 
принадлежать: принадлежат 
возможный: возможны 
ласкать: ласкал 
смотреть: смотрю 
выйти: выйти 
понравиться: понравился понравиться 
тот: тех 
радио: радио 
популярный: популярные 
сеть: сети 
право: права 
твой: твои 
наш: наши 
сайт: сайтом сайт 
любовь: любовь любви 
казаться: кажется 
мелодия: мелодию 
джо: джо 
жить: жить 
б: б 
клип: клипов 
являть: являет 
неизвестный: неизвестен 
забыть: забыть 
потеря: потерю потерь 
возможность: возможность 
точка: точкой 
создать: создал 
другой: другие 
хит: хит 
тег: тегам теги 
английский: английские 
персональный: персональное 
паблик: паблик 
средь: средь 
мой: мои 
итальянский: итальянские 
глаз: глаза 
мнение: мнений 
тайна: тайну 
чей: чья 
краска: краски 
также: также 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
песня: песня песне песни 
вновь: вновь 
любя: любя 
пожелание: пожелания 
рождение: рождения 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
художник: художник 
немецкий: немецкие 
стать: стал 
авторский: авторские 
представить: представлена 
подписка: подписки 
хотеть: хочу 
исполнение: исполнении 
французский: французские 
хватать: хватает 
пожалуйста: пожалуйста 
разместить: разместить 
ответить: ответь 
ощущать: ощущал 
ложь: ложь 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
человек: людей 
обратный: обратная 
бродить: бродить 
копирование: копирования 
парад: парад 
игра: игра 
просто: просто 
добавить: добавить 
кто: кого 
жизнь: жизни 
придумать: придумал 
узнать: узнал 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
это: это 
счастливый: счастлив 
партнёрский: партнерская 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
делать: делать 
социальный: социальные 
вариант: варианты вариант 
событие: событие 
сообщить: сообщите 
слезинка: слезинок 
мы: нам 
дрожь: дрожь 
мгла: мгле 
литературный: литературные 
согласовывать: согласовывайте 
реклама: рекламу 
сегодня: сегодня 
указать: указать 
угадать: угадай 
нужный: нужна 
программа: программа 
