связь: связь 
автор: автор авторы авторами авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
мочь: можешь могут 
строчка: строчки 
укусить: укуси 
рейтинг: рейтинг 
текст: текст 
грязный: грязная 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
любить: люблю 
отказ: отказ 
интересный: интересное 
политика: политика 
форум: форум форуме 
прикоснуться: прикоснись 
мой: моему мои 
принадлежать: принадлежат 
возможный: возможны 
длинный: длиннее 
выйти: выйти 
он: нему 
понравиться: понравился понравиться понравится 
внутрь: внутрь 
радио: радио 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
сайт: сайтом сайт 
мелодия: мелодию 
клип: клипов 
проникнуть: проникни 
возможность: возможность 
обращаться: обращайся 
скользь: скользи 
отсылка: отсылка 
горячий: горячее 
видеть: вижу 
хит: хит 
тег: тегам 
английский: английские 
персональный: персональное 
сильный: сильнее 
паблик: паблик 
кончить: кончить 
итальянский: итальянские 
сучка: сучка 
мнение: мнений 
ты: тебе 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
пожелание: пожелания 
конфиденциальность: конфиденциальности 
знать: знаю 
несоответствие: несоответствия 
материал: материалов 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
подписка: подписки 
хотеть: хочу 
ким: ким 
я: мной 
французский: французские 
пожалуйста: пожалуйста 
разместить: разместить 
быстрый: быстрее 
трахаться: трахаться 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
скрыть: скрыть 
нравиться: нравится 
обратный: обратная 
копирование: копирования 
парад: парад 
маленький: маленькая 
игра: игра 
давать: давай 
толща: толще 
добавить: добавить 
альбом: альбома 
соглашение: соглашение 
отправить: отправить 
это: это 
прокатиться: прокатиться 
партнёрский: партнерская 
волноваться: волнуешься 
ага: ага 
шлюха: шлюхой 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
жёстко: жестко 
оседлать: оседлай 
пользовательский: пользовательское 
социальный: социальные 
сообщить: сообщите 
мы: нам 
согласовывать: согласовывайте 
реклама: рекламу 
угадать: угадай 
программа: программа 
тело: телу 
