связь: связь 
место: место 
ум: ума 
автор: автор авторы авторами авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
рейтинг: рейтинг 
текст: текст 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
крик: крик 
любить: люблю 
отказ: отказ 
интересный: интересное 
политика: политика 
форум: форум форуме 
миллионер: миллионером 
принадлежать: принадлежат 
улыбка: улыбку 
дьявол: дьявол 
возможный: возможны 
умереть: умру 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
танцевать: танцует танцуй 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
русски: русски 
сайт: сайтом сайт 
невозможно: невозможно 
она: ею неё 
волга: волга 
мелодия: мелодию 
клип: клипов 
хей: хей 
ещё: ещё 
возможность: возможность 
оставить: оставил 
женщина: женщины 
кричать: кричит 
шум: шум 
хит: хит 
водка: водки водку водка 
сволочь: сволочь 
тег: тегам 
английский: английские 
почувствовать: почувствуешь 
персональный: персональное 
паблик: паблик 
мой: мои 
итальянский: итальянские 
мнение: мнений 
давно: давно 
главный: главная 
прекрасный: прекраснее 
авторизируться: авторизируйтесь 
ответственность: ответственности 
владимир: владимир 
пожелание: пожелания 
бар: баре 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
словно: словно 
кавказ: кавказ 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
бродяга: бродяга 
подписка: подписки 
былой: былые 
князь: князь 
бутылка: бутылку 
старый: старый 
французский: французские 
звезда: звезда 
пожалуйста: пожалуйста 
разместить: разместить 
один: одно 
иван: иван 
соня: соней соня 
поблагодарить: поблагодарить 
ха: ха 
время: времена 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
эй: эй 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
зал: зал 
весь: весь 
добавить: добавить 
хэй: хэй 
полюбоваться: полюбоваться 
твой: твою 
соглашение: соглашение 
сказать: сказал 
отправить: отправить 
мочь: могут 
это: это 
влюбиться: влюбиться 
партнёрский: партнерская 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
друг: друг 
сообщить: сообщите 
мы: нам 
отставить: отставил 
согласовывать: согласовывайте 
кровь: крови 
реклама: рекламу 
сегодня: сегодня 
сиять: сияет 
прознать: прознал 
угадать: угадай 
программа: программа 
варанк: варанков 
