связь: связь 
автор: автор авторы авторами автора авторам 
лай: лай 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
рейтинг: рейтинг 
текст: текст 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
давид: давида 
отказ: отказ 
интересный: интересное 
политика: политика 
форум: форум форуме 
принадлежать: принадлежат 
возможный: возможны 
царь: царь 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
юз: юзу 
сайт: сайтом сайт 
разрушить: разрушит 
мелодия: мелодию 
свой: своим 
увенчать: увенчан 
клип: клипов 
нести: несёт 
возможность: возможность 
лей: лей 
убить: убьёт 
который: который 
хит: хит 
оружие: оружие 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
елей: елеем 
мой: мои 
итальянский: итальянские 
мнение: мнений 
язык: языком 
главный: главная 
авторизируться: авторизируйтесь 
чей: чьё чей 
ответственность: ответственности 
пожелание: пожелания 
лоб: лоб 
сын: сын 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
немецкий: немецкие 
могучий: могучий 
авторский: авторские 
песня: песне песни 
подписка: подписки 
оу: оу 
прийти: придёт 
французский: французские 
пожалуйста: пожалуйста 
разместить: разместить 
меч: меч 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
обратный: обратная 
правитель: правитель 
копирование: копирования 
парад: парад 
игра: игра 
поэт: поэт 
добавить: добавить 
помазать: помазан 
соглашение: соглашение 
основание: основания 
отправить: отправить 
мочь: могут 
твой: твой 
партнёрский: партнерская 
страница: страница 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
город: город 
сообщить: сообщите 
мы: нам 
согласовывать: согласовывайте 
слово: слово 
реклама: рекламу 
шип: шипами 
бог: боже 
угадать: угадай 
солдат: солдат 
программа: программа 
