связь: связь 
автор: автор авторы авторами автора авторам 
самый: самый 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
сам: самом сама 
дословно: дословно 
странно: странно 
смерть: смерти 
рейтинг: рейтинг 
переживать: переживай 
смотреть: смотря 
текст: текст 
парад: парада парад 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
бывать: бывает 
сотня: сотню 
форум: форум форуме 
приглашать: приглашать 
принадлежать: принадлежат 
километр: километров 
улыбка: улыбку 
возможный: возможны 
бешеный: бешеной 
ждать: ждала 
выйти: выйти 
понравиться: понравился понравиться 
это: этим это 
какой: каких 
радио: радио 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
глупый: глупой 
сложный: сложной 
скорость: скоростью 
сайт: сайтом сайт 
казаться: кажется 
утверждать: утверждать 
мелодия: мелодию 
чисто: чисто 
клип: клипов 
возможность: возможность 
вздох: вздохе 
первый: первый 
быть: будь 
парень: парень парнем 
стать: стало 
такой: таким 
сердце: сердце 
хит: хит 
лидер: лидеры 
тег: тегам теги 
английский: английские 
персональный: персональное 
паблик: паблик 
мелить: мели 
мой: мои мое 
итальянский: итальянские 
глаз: глаза 
мнение: мнений 
дорожить: дорожит 
главный: главная 
жизнь: жизнь 
авторизируться: авторизируйтесь 
биться: билось 
ответственность: ответственности 
рождение: рождения 
пожелание: пожелания 
полюбить: полюбить 
видеть: видела 
конфиденциальность: конфиденциальности 
страшно: страшно 
подойти: подошел 
говорить: говорили 
несоответствие: несоответствия 
материал: материалов 
немецкий: немецкие 
деревня: деревне 
авторский: авторские 
песня: песне песни 
подписка: подписки 
я: мной 
усложнять: усложняешь 
перевернуть: перевернуть 
заговорить: заговорил 
французский: французские 
час: час 
пожалуйста: пожалуйста 
разместить: разместить 
улыбаться: улыбается 
признаться: признайтесь 
ужин: ужин 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
некоторый: некоторые 
грустный: грустный 
замечание: замечания 
уверить: уверена 
обратный: обратная 
копирование: копирования 
любить: любит 
игра: игра 
давать: давай 
добавить: добавить 
кто: кого 
знать: знала 
утонуть: утони 
вечер: вечер 
соглашение: соглашение 
дело: деле 
отправить: отправить 
мочь: могут 
услышать: услышала 
остаться: останься 
просить: прошу 
незнакомец: незнакомца 
партнёрский: партнерская 
расстаться: расстанемся 
страница: страница 
всё: всё 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
внезапно: внезапно 
социальный: социальные 
мужчина: мужчина 
событие: событие 
сообщить: сообщите 
остановиться: остановись 
мы: нам 
чувствовать: чувствовала 
поздно: поздно 
согласовывать: согласовывайте 
реклама: рекламу 
сегодня: сегодня 
сказать: сказали скажете 
тысяча: тысячи 
угадать: угадай 
день: день 
программа: программа 
выдумывать: выдумываешь 
