связь: связь 
автор: автор авторы авторами автора авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
выплакать: выплаканные 
ночь: ночей 
сиять: сияют 
рейтинг: рейтинг 
небо: небеса 
текст: текст 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
конец: концов конце 
форум: форум форуме 
принадлежать: принадлежат 
смысл: смыслы 
возможный: возможны 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
сеть: сети 
искажённый: искажённые 
знать: знаем 
право: права 
наш: наши 
приносить: приносит 
сайт: сайтом сайт 
чувство: чувства 
мода: мод 
мелодия: мелодию 
место: месте 
прощание: прощания 
вера: вера 
депеша: депеш 
клип: клипов 
приветствие: приветствия 
возможность: возможность 
день: дни день 
прощать: прощай 
влюбить: влюблённые 
призрак: призраками 
хит: хит 
цветок: цветы 
тег: тегам 
английский: английские 
персональный: персональное 
грезить: грезят 
луч: лучами 
говорить: говорят 
паблик: паблик 
вчера: вчера 
мой: мои 
итальянский: итальянские 
мнение: мнений 
уснуть: уснуть 
шептать: шепчут 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
рождение: рождения 
пожелание: пожелания 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
быстротечный: быстротечно 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
подписка: подписки 
французский: французские 
пожалуйста: пожалуйста 
разместить: разместить 
воскресный: воскресные 
поблагодарить: поблагодарить 
надежда: надежды 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
колыбельный: колыбельных 
время: время 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
добавить: добавить 
часы: часы 
соглашение: соглашение 
отправить: отправить 
смотреть: смотри 
мочь: могут 
партнёрский: партнерская 
незаметно: незаметно 
страница: страница 
мысль: мыслями 
всё: всё 
потерянный: потерянных 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
дремать: дремлет 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
событие: событие 
сообщить: сообщите 
спрятать: спрятать 
оно: оно 
мы: нам 
стать: станем 
согласовывать: согласовывайте 
слеза: слёзы 
реклама: рекламу 
увядать: увядают 
тысяча: тысячи 
растратить: растраченные 
проходить: проходят 
давать: дающих 
угадать: угадай 
друг: друзья 
программа: программа 
безрассудный: безрассудными 
