связь: связь 
автор: автор авторы авторами автора авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
рейтинг: рейтинг 
текст: текст 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
любить: люблю 
отказ: отказ 
интересный: интересное 
политика: политика 
форум: форум форуме 
принадлежать: принадлежат 
возможный: возможны 
выйти: выйти 
понравиться: понравился понравиться 
образ: образ 
радио: радио 
популярный: популярные 
сеть: сети 
идти: идя 
подобный: подобная 
право: права 
наш: наши 
сайт: сайтом сайт 
ответить: ответит 
любовь: любовь 
сквозь: сквозь 
мелодия: мелодию 
пройти: пройдя 
клип: клипов 
упустить: упущенное 
возможность: возможность 
вернуться: вернётся 
хит: хит 
бесконечный: бесконечным 
тег: тегам теги 
английский: английские 
персональный: персональное 
имя: имени 
паблик: паблик 
мой: мои моей 
итальянский: итальянские 
мнение: мнений 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
пожелание: пожелания 
конфиденциальность: конфиденциальности 
намёк: намёк 
аиша: аиша 
несоответствие: несоответствия 
материал: материалов 
немецкий: немецкие 
авторский: авторские 
неужели: неужели 
песня: песне песни 
реклама: рекламы рекламу 
подписка: подписки 
смутный: смутное 
прийти: придёт 
запоминаться: запоминающийся 
французский: французские 
лишь: лишь 
пожалуйста: пожалуйста 
разместить: разместить 
навеки: навеки 
поблагодарить: поблагодарить 
бессмертный: бессмертная 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
время: время 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
загадка: загадка 
просто: просто 
воспоминание: воспоминание 
добавить: добавить 
сон: сон 
равнина: равнинам 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
партнёрский: партнерская 
страница: страница 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
её: её 
сообщить: сообщите 
мы: нам 
объятие: объятие 
согласовывать: согласовывайте 
угадать: угадай 
программа: программа 
звать: зову 
к: ко 
