связь: связь 
автор: автор авторы авторами авторам 
крошка: крошка 
насколько: насколько 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
оказаться: оказалось 
рейтинг: рейтинг 
текст: текст 
счётчик: счетчиком 
океан: океан 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
твой: твоим твои твою 
преданность: преданностью 
отказ: отказ 
интересный: интересное 
политика: политика 
форум: форум форуме 
принадлежать: принадлежат 
возможный: возможны 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
секрет: секреты 
сайт: сайтом сайт 
хотеться: хотелось 
мелодия: мелодию 
вдыхать: вдыхающим 
клип: клипов 
мера: мере 
возможность: возможность 
тихий: тихий 
свой: своем 
хранить: храню 
сердце: сердце 
хит: хит 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
мой: мои 
итальянский: итальянские 
волос: волосы 
мнение: мнений 
остановиться: остановлюсь 
кофейник: кофейником 
ты: тебе 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
трудный: труднее 
пожелание: пожелания 
горячий: горячий 
укладка: укладки 
крайний: крайней 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
держать: держать 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
подписка: подписки 
хотеть: хочу 
французский: французские 
пожалуйста: пожалуйста 
разместить: разместить 
пыль: пыль 
поблагодарить: поблагодарить 
пылесос: пылесосом 
глубокий: глубок глубокой 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
скрыть: скрыть 
обратный: обратная 
обогреватель: обогревателем 
копирование: копирования 
парад: парад 
игра: игра 
просто: просто 
добавить: добавить 
заржаветь: заржавею 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
партнёрский: партнерская 
ошибка: ошибки 
представиться: представьтесь 
командовать: командуешь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
любить: любишь 
социальный: социальные 
настолько: настолько 
лосьон: лосьоном 
сообщить: сообщите 
мы: нам 
холодно: холодно 
согласовывать: согласовывайте 
кофе: кофе 
реклама: рекламу 
угадать: угадай 
программа: программа 
думать: думал 
позволить: позволь 
